A,tiny,856.821265356
A,big,601.22694539
A,huge,561.037985686
A,small,527.429232904
A,gigantic,421.07960033
A,large,164.197207905
A,minuscule,116.966501385
A,enormous,34.7024290316
B,wet,854.346477654
B,dry,698.303182187
B,parched,448.759941453
B,damp,322.4925458
B,moist,293.250934607
B,arid,71.1694718731
C,smart,940.80235036
C,dumb,737.192367593
C,stupid,584.047752346
C,intelligent,470.010318428
C,idiotic,71.1913421516
D,terrible,1149.59399136
D,great,967.830955568
D,bad,326.377298193
D,awful,230.70953128
D,horrible,180.866707775
D,good,144.357724616
D,awesome,38.1144085481
D,wonderful,34.7344885856
E,old,1028.00340168
E,new,619.041652514
E,ancient,400.117732022
E,fresh,56.8536392483
F,fast,1031.82553796
F,quick,822.342972598
F,slow,660.360607561
F,speedy,370.085830779
G,easy,929.438741594
G,hard,771.910899308
G,simple,718.754792523
G,difficult,684.373984052
H,many,812.536818796
H,few,471.430147417
H,some,76.1992101547
H,several,65.0070046938
H,lots,3.9533187645
I,bright,688.262350447
I,dark,252.103561753
I,light,187.039616024
I,dim,79.5504065096
J,same,628.146769544
J,different,607.592439122
J,similar,418.952213461
J,alike,408.351978509
K,ugly,945.865828242
K,beautiful,903.223707992
K,gorgeous,478.706228905
K,pretty,466.543827147
K,hideous,80.3326475215
L,round,768.450201698
L,circular,264.045669461
L,concave,76.3357248344
L,convex,52.2958384487
M,skinny,408.753695012
M,fat,185.767210788
M,hairless,160.564415167
M,thin,147.365044973
M,hairy,102.490753415
M,furry,91.944187765
M,tall,83.663443096
M,smooth,59.9922833441
M,old,22.1106846159
M,bald,15.1583169855
N,plastic,167.391795914
N,wooden,152.562348255
N,metal,130.584973439
N,hard,100.053889584
N,glass,9.8959670751
N,stone,3.7066512193
O,expensive,667.016492575
O,secret,200.168720303
O,attractive,146.133750561
O,fast,143.229872745
O,tasty,58.7427265193
O,sour,5.7703600813
P,hot,832.215355368
P,cold,738.787817404
P,freezing,395.24868367
P,warm,223.485346164
